,Epoch,0.0-0.05,0.05-0.1,0.1-0.2,0.2-0.3,0.3-0.4,0.4-0.5,0.5-0.6,0.6-0.7,0.7-0.8,0.8-0.9,0.9-1,Total mel,Total def
0,1,0,0,12,0,0,0,0,0,0,0,0,,12.0
0,2,0,1,11,0,0,0,0,0,0,0,0,,12.0
0,3,0,7,5,0,0,0,0,0,0,0,0,,12.0
0,4,0,9,3,0,0,0,0,0,0,0,0,,12.0
0,5,2,7,3,0,0,0,0,0,0,0,0,,12.0
0,6,3,6,3,0,0,0,0,0,0,0,0,,12.0
0,7,3,7,2,0,0,0,0,0,0,0,0,,12.0
0,8,5,7,0,0,0,0,0,0,0,0,0,,12.0
0,9,5,7,0,0,0,0,0,0,0,0,0,,12.0
0,10,5,7,0,0,0,0,0,0,0,0,0,,12.0
0,11,5,7,0,0,0,0,0,0,0,0,0,,12.0
0,12,6,6,0,0,0,0,0,0,0,0,0,,12.0
0,13,6,6,0,0,0,0,0,0,0,0,0,,12.0
0,14,6,5,1,0,0,0,0,0,0,0,0,,12.0
0,15,7,4,1,0,0,0,0,0,0,0,0,,12.0
0,16,7,4,1,0,0,0,0,0,0,0,0,,12.0
0,17,7,4,1,0,0,0,0,0,0,0,0,,12.0
0,18,8,3,1,0,0,0,0,0,0,0,0,,12.0
0,19,7,3,2,0,0,0,0,0,0,0,0,,12.0
0,20,7,3,2,0,0,0,0,0,0,0,0,,12.0
0,21,6,4,2,0,0,0,0,0,0,0,0,,12.0
0,22,6,4,1,1,0,0,0,0,0,0,0,,12.0
0,23,7,3,1,1,0,0,0,0,0,0,0,,12.0
0,24,7,3,0,2,0,0,0,0,0,0,0,,12.0
0,25,6,3,1,2,0,0,0,0,0,0,0,,12.0
0,26,5,4,1,1,1,0,0,0,0,0,0,,12.0
0,27,5,4,1,0,2,0,0,0,0,0,0,,12.0
0,28,5,2,3,0,2,0,0,0,0,0,0,,12.0
0,29,5,2,3,0,0,2,0,0,0,0,0,,12.0
0,30,5,1,3,1,0,2,0,0,0,0,0,,12.0
0,31,5,1,3,1,0,0,2,0,0,0,0,,12.0
0,32,5,0,4,1,0,0,2,0,0,0,0,,12.0
0,33,5,0,3,2,0,0,0,2,0,0,0,,12.0
0,34,5,0,2,2,1,0,0,2,0,0,0,,12.0
0,35,5,0,2,2,1,0,0,0,2,0,0,,12.0
0,36,5,0,2,1,2,0,0,0,2,0,0,,12.0
0,37,5,0,1,2,1,1,0,0,0,2,0,,12.0
0,38,5,0,2,1,1,1,0,0,0,2,0,,12.0
0,39,5,0,1,1,1,0,2,0,0,2,0,,12.0
0,40,5,0,2,0,1,1,1,0,0,2,0,,12.0
0,41,5,0,1,1,1,0,2,0,0,2,0,,12.0
0,42,5,0,1,1,0,1,2,0,0,2,0,,12.0
0,43,5,0,1,1,0,0,2,1,0,2,0,,12.0
0,44,5,0,1,0,1,1,1,0,1,1,1,,12.0
0,45,5,0,1,0,1,0,1,1,0,1,2,,12.0
0,46,5,0,1,1,0,0,1,1,0,1,2,,12.0
0,47,5,0,1,1,0,0,0,1,1,1,2,,12.0
0,48,5,0,0,1,1,0,1,0,1,1,2,,12.0
0,49,5,0,0,1,1,1,0,0,1,1,2,,12.0
0,50,5,0,1,0,1,1,0,0,1,1,2,,12.0
0,51,5,0,0,1,0,1,1,0,1,1,2,,12.0
0,52,5,0,0,0,1,2,0,0,0,1,3,,12.0
0,53,5,0,0,1,1,1,0,0,0,1,3,,12.0
0,54,5,0,0,0,2,1,0,0,0,1,3,,12.0
0,55,5,0,0,1,0,2,0,0,0,1,3,,12.0
0,56,5,0,0,2,1,0,0,0,1,0,3,,12.0
0,57,5,0,1,1,1,0,0,1,0,0,3,,12.0
0,58,4,1,0,0,1,2,0,0,0,1,3,,12.0
0,59,4,1,0,0,0,2,1,0,0,1,3,,12.0
0,60,5,0,0,0,1,0,2,0,0,1,3,,12.0
0,61,4,1,0,0,2,0,1,0,1,0,3,,12.0
0,62,4,1,0,0,0,0,2,1,0,1,3,,12.0
0,63,4,0,1,0,0,1,1,1,1,0,3,,12.0
0,64,4,0,1,0,0,0,2,0,2,0,3,,12.0
0,65,4,0,1,0,0,1,1,1,0,1,3,,12.0
0,66,4,0,0,1,0,2,0,0,1,1,3,,12.0
0,67,4,0,1,0,0,1,2,0,0,1,3,,12.0
0,68,4,0,0,0,1,0,1,1,1,0,4,,12.0
0,69,4,0,1,0,0,1,0,2,0,0,4,,12.0
0,70,4,0,1,0,0,1,1,1,0,0,4,,12.0
0,71,4,1,0,0,0,0,1,1,1,1,3,,12.0
0,72,5,0,0,0,2,0,1,0,0,1,3,,12.0
0,73,4,0,1,1,0,0,1,1,0,1,3,,12.0
0,74,4,0,0,1,0,0,0,1,1,1,4,,12.0
0,75,4,0,1,1,0,0,0,0,2,0,4,,12.0
0,76,4,0,0,0,1,0,1,0,2,0,4,,12.0
0,77,4,0,0,0,1,1,0,1,0,1,4,,12.0
