,Epoch,0.0-0.05,0.05-0.1,0.1-0.2,0.2-0.3,0.3-0.4,0.4-0.5,0.5-0.6,0.6-0.7,0.7-0.8,0.8-0.9,0.9-1,Total nev
0,1,0,0,294,370,7,0,0,0,0,0,0,671
0,2,0,0,45,266,251,95,14,0,0,0,0,671
0,3,0,0,29,102,139,126,124,87,54,10,0,671
0,4,0,0,21,52,88,87,96,109,106,97,15,671
0,5,0,0,14,34,50,74,67,89,121,157,65,671
0,6,0,0,14,24,28,58,58,82,108,172,127,671
0,7,0,0,16,23,25,41,60,64,93,155,194,671
0,8,0,0,16,18,26,27,53,50,96,123,262,671
0,9,0,1,16,12,26,19,50,45,82,123,297,671
0,10,0,3,13,14,21,17,34,53,62,119,335,671
0,11,0,2,13,15,17,19,26,45,55,109,370,671
0,12,0,3,10,11,13,14,23,33,57,107,400,671
0,13,0,3,11,10,13,16,24,34,51,101,408,671
0,14,1,2,8,13,11,12,20,29,52,95,428,671
0,15,1,2,7,13,13,12,19,30,53,99,422,671
0,16,1,2,1,13,11,10,15,26,47,88,457,671
0,17,2,1,3,13,9,11,15,32,44,81,460,671
0,18,2,1,1,9,11,11,12,27,35,76,486,671
0,19,1,2,2,6,7,9,16,21,35,77,495,671
0,20,1,2,1,7,10,8,13,20,34,74,501,671
0,21,1,2,2,6,8,11,13,22,33,75,498,671
0,22,1,2,4,4,8,11,14,24,30,74,499,671
0,23,1,1,4,4,8,9,17,19,29,72,507,671
0,24,1,1,4,4,6,9,13,18,30,66,519,671
0,25,1,1,4,4,4,10,17,16,29,73,512,671
0,26,1,2,3,3,8,9,10,20,30,69,516,671
0,27,1,1,4,3,9,10,9,19,29,63,523,671
0,28,1,3,4,8,7,9,11,22,30,67,509,671
0,29,1,2,4,8,8,7,14,21,33,67,506,671
0,30,1,2,3,4,9,8,7,17,26,56,538,671
0,31,1,2,4,3,9,6,9,23,17,62,535,671
0,32,2,2,3,6,10,6,6,23,17,56,540,671
0,33,2,2,3,4,9,9,7,19,18,50,548,671
0,34,1,3,1,8,8,6,13,16,21,50,544,671
0,35,2,2,4,8,6,7,12,16,23,45,546,671
0,36,2,2,5,12,4,8,9,19,26,50,534,671
0,37,2,2,3,12,3,12,7,13,26,54,537,671
0,38,2,2,1,10,9,4,7,16,23,44,553,671
0,39,1,3,2,7,9,5,9,12,22,53,548,671
0,40,1,3,1,6,10,4,8,12,19,48,559,671
0,41,1,3,5,4,10,6,4,18,22,43,555,671
0,42,2,2,2,8,8,3,6,13,17,38,572,671
0,43,3,1,10,7,5,5,11,13,25,39,552,671
0,44,4,0,9,8,5,6,8,10,20,49,552,671
0,45,2,1,4,6,10,5,4,13,16,38,572,671
0,46,2,4,5,10,6,1,10,12,20,45,556,671
0,47,3,0,12,7,4,4,8,12,19,39,563,671
0,48,3,0,3,8,9,5,5,10,24,34,570,671
0,49,3,1,6,6,5,6,6,10,20,34,574,671
0,50,3,0,7,9,4,6,3,14,16,33,576,671
0,51,3,1,9,4,8,3,4,11,17,34,577,671
0,52,3,1,1,7,8,5,4,8,18,22,594,671
0,53,3,1,8,4,4,3,8,11,18,27,584,671
0,54,4,1,4,7,7,4,5,13,15,31,580,671
0,55,7,2,11,6,3,7,7,11,16,36,565,671
0,56,4,0,4,6,2,6,4,7,11,23,604,671
0,57,3,2,9,6,4,5,8,10,10,30,584,671
0,58,4,4,7,8,7,2,6,10,13,32,578,671
0,59,4,1,10,5,4,1,7,10,16,24,589,671
0,60,6,4,6,5,3,5,9,6,18,27,582,671
0,61,3,2,4,7,4,7,1,12,11,19,601,671
0,62,3,4,5,7,3,4,2,10,8,24,601,671
0,63,4,2,11,4,4,2,4,12,18,21,589,671
0,64,3,2,5,6,7,5,1,7,14,28,593,671
0,65,5,1,6,6,5,3,0,8,6,24,607,671
0,66,4,1,9,5,1,1,9,5,12,29,595,671
0,67,3,2,4,8,5,3,2,6,9,19,610,671
0,68,3,1,3,9,4,6,5,5,12,21,602,671
0,69,4,2,3,5,2,8,3,7,10,20,607,671
0,70,6,2,2,5,5,2,5,5,5,19,615,671
0,71,2,5,0,4,8,4,2,5,8,18,615,671
0,72,2,4,4,5,4,5,5,2,9,20,611,671
0,73,3,7,2,5,3,9,1,9,7,19,606,671
0,74,6,2,8,2,3,3,5,5,11,23,603,671
0,75,9,2,7,3,4,1,12,7,16,18,592,671
0,76,6,3,3,4,4,1,7,9,8,14,612,671
0,77,4,6,2,2,5,6,2,7,10,10,617,671
0,78,6,4,6,0,5,3,4,5,12,21,605,671
0,79,6,3,8,1,4,8,4,3,9,14,611,671
0,80,4,0,3,8,1,1,2,5,6,14,627,671
0,81,4,3,1,6,3,3,4,5,6,12,624,671
0,82,6,3,8,5,1,3,6,11,7,24,597,671
0,83,6,2,3,3,3,0,9,4,5,17,619,671
0,84,5,1,4,1,7,3,3,1,8,18,620,671
0,85,4,3,6,4,3,3,6,5,7,18,612,671
