,Epoch,0.0-0.05,0.05-0.1,0.1-0.2,0.2-0.3,0.3-0.4,0.4-0.5,0.5-0.6,0.6-0.7,0.7-0.8,0.8-0.9,0.9-1,Total images
0,1,0,0,306,370,7,0,0,0,0,0,0,1005
0,2,0,1,56,266,251,95,14,0,0,0,0,1005
0,3,0,7,34,102,139,126,124,87,54,10,0,1005
0,4,0,9,24,52,88,87,96,109,106,97,15,1005
0,5,2,7,17,34,50,74,67,89,121,157,65,1005
0,6,3,6,17,24,28,58,58,82,108,172,127,1005
0,7,3,7,18,23,25,41,60,64,93,155,194,1005
0,8,5,7,16,18,26,27,53,50,96,123,262,1005
0,9,5,8,16,12,26,19,50,45,82,123,297,1005
0,10,5,10,13,14,21,17,34,53,62,119,335,1005
0,11,5,9,13,15,17,19,26,45,55,109,370,1005
0,12,6,9,10,11,13,14,23,33,57,107,400,1005
0,13,6,9,11,10,13,16,24,34,51,101,408,1005
0,14,7,7,9,13,11,12,20,29,52,95,428,1005
0,15,8,6,8,13,13,12,19,30,53,99,422,1005
0,16,8,6,2,13,11,10,15,26,47,88,457,1005
0,17,9,5,4,13,9,11,15,32,44,81,460,1005
0,18,10,4,2,9,11,11,12,27,35,76,486,1005
0,19,8,5,4,6,7,9,16,21,35,77,495,1005
0,20,8,5,3,7,10,8,13,20,34,74,501,1005
0,21,7,6,4,6,8,11,13,22,33,75,498,1005
0,22,7,6,5,5,8,11,14,24,30,74,499,1005
0,23,8,4,5,5,8,9,17,19,29,72,507,1005
0,24,8,4,4,6,6,9,13,18,30,66,519,1005
0,25,7,4,5,6,4,10,17,16,29,73,512,1005
0,26,6,6,4,4,9,9,10,20,30,69,516,1005
0,27,6,5,5,3,11,10,9,19,29,63,523,1005
0,28,6,5,7,8,9,9,11,22,30,67,509,1005
0,29,6,4,7,8,8,9,14,21,33,67,506,1005
0,30,6,3,6,5,9,10,7,17,26,56,538,1005
0,31,6,3,7,4,9,6,11,23,17,62,535,1005
0,32,7,2,7,7,10,6,8,23,17,56,540,1005
0,33,7,2,6,6,9,9,7,21,18,50,548,1005
0,34,6,3,3,10,9,6,13,18,21,50,544,1005
0,35,7,2,6,10,7,7,12,16,25,45,546,1005
0,36,7,2,7,13,6,8,9,19,28,50,534,1005
0,37,7,2,4,14,4,13,7,13,26,56,537,1005
0,38,7,2,3,11,10,5,7,16,23,46,553,1005
0,39,6,3,3,8,10,5,11,12,22,55,548,1005
0,40,6,3,3,6,11,5,9,12,19,50,559,1005
0,41,6,3,6,5,11,6,6,18,22,45,555,1005
0,42,7,2,3,9,8,4,8,13,17,40,572,1005
0,43,8,1,11,8,5,5,13,14,25,41,552,1005
0,44,9,0,10,8,6,7,9,10,21,50,553,1005
