,Epoch,0.0-0.05,0.05-0.1,0.1-0.2,0.2-0.3,0.3-0.4,0.4-0.5,0.5-0.6,0.6-0.7,0.7-0.8,0.8-0.9,0.9-1,Total nev
0,1,0,0,13,66,148,155,159,86,41,3,0,671
0,2,0,0,3,14,35,52,103,139,157,141,27,671
0,3,0,0,3,14,22,29,72,106,137,212,76,671
0,4,0,1,4,12,21,28,60,88,129,204,124,671
0,5,0,1,8,10,20,24,57,76,106,204,165,671
0,6,0,3,4,14,20,26,41,53,109,192,209,671
0,7,1,2,2,9,17,22,37,57,120,176,228,671
0,8,1,2,9,13,16,26,36,63,102,199,204,671
0,9,1,1,5,12,11,14,37,53,95,201,241,671
0,10,3,1,7,10,15,15,30,45,90,176,279,671
0,11,1,1,11,9,15,25,34,56,102,170,247,671
0,12,1,2,6,7,16,20,29,43,84,160,303,671
0,13,1,1,5,8,7,14,13,54,92,171,305,671
0,14,1,0,6,11,15,19,18,46,83,156,316,671
0,15,3,4,8,15,13,28,28,51,105,149,267,671
0,16,1,3,3,14,9,22,23,41,81,158,316,671
0,17,2,2,7,10,14,18,35,42,83,145,313,671
0,18,4,1,6,8,13,23,34,44,88,147,303,671
0,19,1,3,7,7,8,24,27,37,80,141,336,671
0,20,4,1,4,5,14,14,28,33,83,141,344,671
0,21,3,1,4,3,11,20,30,41,60,147,351,671
0,22,2,1,6,11,14,20,31,28,62,151,345,671
0,23,1,3,8,3,14,16,20,39,80,124,363,671
0,24,1,3,3,6,12,15,22,48,72,121,368,671
0,25,2,1,4,6,13,16,25,52,57,146,349,671
0,26,1,3,4,6,2,17,15,39,70,112,402,671
0,27,2,1,9,11,10,27,32,38,69,109,363,671
0,28,1,2,2,7,12,17,28,36,70,114,382,671
0,29,5,2,3,4,9,13,26,34,65,123,387,671
0,30,4,1,9,5,2,11,19,34,52,118,416,671
0,31,3,1,10,5,11,10,21,29,69,130,382,671
0,32,2,2,7,8,12,16,22,39,44,118,401,671
0,33,4,1,9,10,11,18,32,37,62,92,395,671
0,34,3,3,5,7,15,15,13,28,46,129,407,671
0,35,3,3,3,2,12,22,20,31,52,108,415,671
0,36,3,2,6,7,8,10,31,22,58,88,436,671
0,37,1,2,8,7,2,15,17,35,47,103,434,671
0,38,5,3,3,8,12,14,18,36,63,96,413,671
0,39,3,1,3,3,12,7,18,21,66,92,445,671
0,40,3,2,6,7,15,14,24,44,51,103,402,671
0,41,2,5,7,10,12,16,25,34,39,96,425,671
0,42,1,5,10,12,8,9,14,28,47,100,437,671
0,43,3,2,8,11,10,13,19,23,42,91,449,671
0,44,3,2,5,7,12,10,20,20,47,84,461,671
0,45,3,2,4,2,9,11,16,20,38,82,484,671
0,46,4,0,7,7,10,13,13,30,43,75,469,671
0,47,4,3,9,7,7,17,16,21,42,71,474,671
0,48,4,4,11,13,15,11,22,25,40,66,460,671
0,49,2,6,7,9,12,13,7,22,39,59,495,671
0,50,1,2,2,6,6,9,16,26,38,76,489,671
