,Epoch,0.0-0.05,0.05-0.1,0.1-0.2,0.2-0.3,0.3-0.4,0.4-0.5,0.5-0.6,0.6-0.7,0.7-0.8,0.8-0.9,0.9-1,Total images
0,1,0,6,19,66,148,155,159,86,41,3,0,1005
0,2,2,10,3,14,35,52,103,139,157,141,27,1005
0,3,4,7,4,14,22,29,72,106,137,212,76,1005
0,4,3,8,6,12,21,28,60,88,129,204,124,1005
0,5,4,8,9,10,20,24,57,76,106,204,165,1005
0,6,3,11,5,14,20,26,41,53,109,192,209,1005
0,7,6,7,4,9,17,22,37,57,120,176,228,1005
0,8,8,5,11,13,16,26,36,63,102,199,204,1005
0,9,3,9,7,12,11,14,37,53,95,201,241,1005
0,10,7,5,11,10,15,15,30,45,90,176,279,1005
0,11,8,3,13,10,15,25,34,56,102,170,247,1005
0,12,4,9,8,7,16,20,29,43,84,160,303,1005
0,13,6,4,8,9,7,14,13,54,92,171,305,1005
0,14,6,2,9,13,15,19,18,46,83,156,316,1005
0,15,7,7,10,18,13,28,28,51,105,149,267,1005
0,16,4,7,5,16,9,23,23,41,81,158,316,1005
0,17,5,3,10,12,16,19,35,42,83,145,313,1005
0,18,6,3,9,10,14,25,34,44,88,147,303,1005
0,19,2,6,8,7,11,27,28,37,80,141,336,1005
0,20,5,3,6,6,14,18,30,33,83,141,344,1005
0,21,5,2,7,3,12,23,31,42,60,147,351,1005
0,22,6,2,7,12,17,21,31,29,62,151,345,1005
0,23,2,6,9,7,15,16,20,40,80,125,363,1005
0,24,3,4,4,10,13,15,24,48,72,121,369,1005
0,25,4,3,5,6,14,16,26,54,58,148,349,1005
0,26,4,3,5,7,3,17,15,40,74,113,402,1005
0,27,4,2,10,12,11,27,34,39,69,110,365,1005
0,28,2,2,5,7,13,18,30,38,70,116,382,1005
0,29,7,2,4,5,10,13,26,35,69,125,387,1005
0,30,7,2,11,5,2,11,20,35,54,119,417,1005
0,31,4,4,10,6,12,10,21,31,70,132,383,1005
0,32,3,3,10,8,12,16,22,40,45,121,403,1005
0,33,5,3,10,11,12,18,32,37,63,95,397,1005
0,34,5,5,5,7,16,15,16,28,47,130,409,1005
0,35,7,3,3,3,13,23,21,31,53,110,416,1005
0,36,6,3,7,10,8,10,31,22,61,89,436,1005
0,37,3,3,8,9,4,15,18,36,47,103,437,1005
0,38,8,3,4,8,13,16,19,38,63,96,415,1005
0,39,5,2,4,4,12,7,18,21,68,93,449,1005
0,40,4,3,7,7,15,15,24,44,51,105,408,1005
0,41,3,6,8,10,13,17,26,34,41,97,428,1005
0,42,2,6,10,12,8,10,16,29,47,101,442,1005
0,43,3,2,11,11,12,13,21,23,42,91,454,1005
0,44,4,4,5,8,12,10,20,22,47,86,465,1005
0,45,4,2,6,3,10,12,17,20,38,82,489,1005
0,46,5,1,9,7,10,13,14,30,47,76,471,1005
0,47,6,3,9,8,7,17,16,24,43,72,478,1005
0,48,6,6,11,13,15,12,22,25,42,69,462,1005
0,49,3,7,8,9,12,13,7,22,40,62,500,1005
0,50,2,3,3,7,6,9,16,26,41,76,494,1005
