,Epoch,0.0-0.05,0.05-0.1,0.1-0.2,0.2-0.3,0.3-0.4,0.4-0.5,0.5-0.6,0.6-0.7,0.7-0.8,0.8-0.9,0.9-1,Total mel,Total def
0,1,0,0,12,0,0,0,0,0,0,0,0,,12.0
0,2,0,0,12,0,0,0,0,0,0,0,0,,12.0
0,3,0,0,12,0,0,0,0,0,0,0,0,,12.0
0,4,0,0,12,0,0,0,0,0,0,0,0,,12.0
0,5,0,0,12,0,0,0,0,0,0,0,0,,12.0
0,6,0,0,12,0,0,0,0,0,0,0,0,,12.0
0,7,0,0,9,3,0,0,0,0,0,0,0,,12.0
0,8,0,0,8,4,0,0,0,0,0,0,0,,12.0
0,9,0,1,5,5,1,0,0,0,0,0,0,,12.0
0,10,0,1,4,3,3,1,0,0,0,0,0,,12.0
0,11,0,1,3,3,1,3,1,0,0,0,0,,12.0
0,12,0,2,2,3,0,1,1,3,0,0,0,,12.0
0,13,0,2,2,2,1,0,1,2,2,0,0,,12.0
0,14,1,1,2,2,1,0,1,0,3,1,0,,12.0
0,15,1,1,2,2,0,1,0,1,1,3,0,,12.0
0,16,1,1,1,3,0,0,1,1,0,3,1,,12.0
0,17,1,2,0,2,1,0,1,1,0,3,1,,12.0
0,18,1,0,3,1,0,1,0,1,1,1,3,,12.0
0,19,1,1,2,0,2,0,0,0,1,2,3,,12.0
0,20,1,2,1,0,1,0,1,0,1,2,3,,12.0
0,21,1,2,1,1,0,0,0,1,0,3,3,,12.0
0,22,1,2,1,1,0,0,0,1,0,1,5,,12.0
0,23,1,2,1,0,1,0,0,0,1,1,5,,12.0
0,24,1,3,0,1,0,0,0,0,0,2,5,,12.0
0,25,1,3,0,0,1,0,0,0,0,2,5,,12.0
0,26,2,2,0,0,1,0,0,0,0,3,4,,12.0
0,27,2,2,0,0,1,0,0,0,2,3,2,,12.0
0,28,2,2,0,0,0,1,0,1,1,1,4,,12.0
0,29,2,2,0,1,0,0,0,0,0,3,4,,12.0
0,30,1,3,0,0,1,0,0,0,0,3,4,,12.0
0,31,3,1,0,0,1,0,0,0,1,2,4,,12.0
0,32,3,1,0,0,1,0,0,0,1,2,4,,12.0
0,33,3,1,0,0,1,0,0,0,1,1,5,,12.0
