,Epoch,0.0-0.05,0.05-0.1,0.1-0.2,0.2-0.3,0.3-0.4,0.4-0.5,0.5-0.6,0.6-0.7,0.7-0.8,0.8-0.9,0.9-1,Total nev
0,1,0,0,660,11,0,0,0,0,0,0,0,671
0,2,0,0,638,33,0,0,0,0,0,0,0,671
0,3,0,0,553,118,0,0,0,0,0,0,0,671
0,4,0,0,428,241,2,0,0,0,0,0,0,671
0,5,0,1,324,310,35,1,0,0,0,0,0,671
0,6,0,5,247,287,115,17,0,0,0,0,0,671
0,7,0,11,201,238,135,71,14,1,0,0,0,671
0,8,0,20,156,189,148,87,56,13,2,0,0,671
0,9,2,28,132,158,136,83,79,45,8,0,0,671
0,10,8,35,110,121,132,91,81,65,26,2,0,671
0,11,12,31,82,110,108,102,75,79,64,8,0,671
0,12,14,31,70,99,91,104,86,78,81,17,0,671
0,13,17,29,67,82,90,83,94,88,89,32,0,671
0,14,15,27,51,80,74,80,97,84,97,63,3,671
0,15,16,26,46,78,63,77,74,93,103,89,6,671
0,16,19,25,45,75,60,67,74,81,105,101,19,671
0,17,17,22,35,63,58,59,72,82,93,136,34,671
0,18,17,21,30,61,56,56,69,77,90,142,52,671
0,19,18,21,33,63,56,54,62,79,79,139,67,671
0,20,18,19,32,59,53,49,63,71,84,146,77,671
0,21,15,16,29,39,63,53,56,75,78,149,98,671
0,22,15,18,28,43,62,54,51,73,80,146,101,671
0,23,16,17,31,34,58,55,48,68,81,144,119,671
0,24,15,10,31,33,52,57,50,64,79,141,139,671
0,25,16,13,28,30,52,53,52,64,77,142,144,671
0,26,15,12,31,32,44,57,52,62,82,139,145,671
0,27,15,11,32,29,36,59,49,60,83,128,169,671
0,28,15,13,32,33,44,53,44,56,79,116,186,671
0,29,13,11,27,30,38,41,59,59,76,115,202,671
0,30,19,14,30,29,39,53,45,55,73,107,207,671
0,31,15,10,30,28,34,49,46,61,58,116,224,671
0,32,14,10,32,32,31,49,43,65,55,115,225,671
0,33,17,9,33,30,32,47,49,58,68,110,218,671
0,34,15,7,27,28,38,39,49,58,71,110,229,671
0,35,16,7,27,21,40,35,50,56,64,121,234,671
0,36,14,10,24,21,39,30,49,55,69,113,247,671
0,37,12,10,25,18,43,30,47,63,64,120,239,671
0,38,11,13,20,20,40,34,47,52,72,118,244,671
0,39,14,9,22,22,35,35,39,54,73,108,260,671
0,40,12,10,21,20,38,33,40,58,72,108,259,671
0,41,12,9,22,20,35,26,43,53,77,97,277,671
0,42,15,8,23,29,27,36,38,56,68,102,269,671
0,43,13,11,20,19,34,31,37,53,70,106,277,671
0,44,12,10,18,18,31,31,42,41,74,96,298,671
0,45,12,8,19,20,26,29,42,43,73,98,301,671
0,46,10,9,17,16,24,28,42,42,63,95,325,671
